Tarih,Şimdi,Açılış,Yüksek,Düşük,Hac.,Fark %
13.05.2024,"195,20","200,00","203,00","194,00","2,48M","-1,91%"
10.05.2024,"199,00","200,00","206,00","198,40","2,28M","-0,50%"
09.05.2024,"200,00","195,00","200,10","193,20","1,75M","3,15%"
08.05.2024,"193,90","196,50","197,40","192,90","1,90M","-1,07%"
07.05.2024,"196,00","193,00","196,80","190,50","2,10M","2,03%"
06.05.2024,"192,10","195,00","195,90","191,20","1,99M","-0,72%"
03.05.2024,"193,50","186,10","194,50","186,10","2,03M","4,09%"
02.05.2024,"185,90","183,40","187,30","183,40","2,57M","1,86%"
30.04.2024,"182,50","183,00","187,90","180,70","2,91M","-0,05%"
29.04.2024,"182,60","182,50","183,70","178,00","2,79M","1,33%"
26.04.2024,"180,20","181,20","184,20","178,70","2,72M","-0,55%"
25.04.2024,"181,20","176,50","181,50","175,60","2,90M","2,72%"
24.04.2024,"176,40","175,70","178,40","172,30","2,06M","0,80%"
22.04.2024,"175,00","173,40","178,80","173,00","1,96M","1,98%"
19.04.2024,"171,60","169,00","173,50","167,50","2,65M","-0,23%"
18.04.2024,"172,00","167,80","172,50","165,70","2,27M","3,12%"
17.04.2024,"166,80","163,40","169,60","162,00","3,95M","3,09%"
16.04.2024,"161,80","156,50","163,70","156,00","4,10M","1,95%"
15.04.2024,"158,70","167,50","167,50","157,10","5,33M","-5,54%"
09.04.2024,"168,00","168,00","169,00","166,60","679,70K","0,18%"
08.04.2024,"167,70","163,80","167,70","163,00","2,79M","2,51%"
05.04.2024,"163,60","160,00","164,10","159,60","3,76M","2,76%"
04.04.2024,"159,20","154,80","160,50","154,10","5,49M","2,91%"
03.04.2024,"154,70","152,50","154,90","149,80","3,79M","1,44%"
02.04.2024,"152,50","155,50","160,00","151,30","7,37M","-1,61%"
01.04.2024,"155,00","154,00","159,50","151,40","9,39M","1,37%"
29.03.2024,"152,90","151,30","153,40","150,80","2,04M","1,12%"
28.03.2024,"151,20","148,10","151,30","147,50","2,46M","2,37%"
27.03.2024,"147,70","146,90","151,10","145,70","3,22M","1,16%"
26.03.2024,"146,00","150,00","151,00","144,50","2,21M","-2,67%"
25.03.2024,"150,00","154,40","155,10","148,50","5,54M","-2,91%"
22.03.2024,"154,50","151,60","156,80","147,40","6,55M","1,58%"
21.03.2024,"152,10","145,80","153,90","145,40","5,61M","4,82%"
20.03.2024,"145,10","140,60","145,70","139,40","5,21M","3,27%"
19.03.2024,"140,50","137,80","140,90","137,10","1,27M","2,18%"
18.03.2024,"137,50","139,90","140,90","136,50","1,58M","-0,79%"
15.03.2024,"138,60","140,50","140,50","137,30","2,98M","-0,36%"
14.03.2024,"139,10","149,70","149,70","138,80","4,18M","-6,14%"
13.03.2024,"148,20","152,90","153,20","147,80","2,03M","-3,07%"
12.03.2024,"152,90","152,00","152,90","147,40","6,23M","1,80%"
11.03.2024,"150,20","149,30","152,70","144,90","4,54M","1,90%"
08.03.2024,"147,40","143,60","148,70","143,50","2,15M","2,79%"
07.03.2024,"143,40","139,00","143,60","138,90","2,86M","3,76%"
06.03.2024,"138,20","146,20","146,30","137,70","4,27M","-5,15%"
05.03.2024,"145,70","148,20","149,00","143,30","2,89M","-1,69%"
04.03.2024,"148,20","150,90","151,20","146,10","1,32M","-1,13%"
01.03.2024,"149,90","156,00","157,20","149,10","2,22M","-3,73%"
29.02.2024,"155,70","148,30","157,20","148,30","3,46M","5,56%"
28.02.2024,"147,50","152,00","152,40","147,30","1,78M","-2,83%"
27.02.2024,"151,80","154,00","154,20","150,50","1,41M","-1,30%"
26.02.2024,"153,80","153,90","155,80","153,00","1,57M","0,46%"
23.02.2024,"153,10","155,70","156,70","152,50","1,36M","-1,16%"
22.02.2024,"154,90","158,10","158,20","153,80","1,95M","-1,90%"
21.02.2024,"157,90","157,50","158,20","154,00","1,75M","0,83%"
20.02.2024,"156,60","156,50","157,20","154,30","1,76M","0,19%"
19.02.2024,"156,30","159,10","159,80","154,60","2,16M","-1,51%"
16.02.2024,"158,70","158,10","160,20","157,70","2,12M","0,63%"
15.02.2024,"157,70","155,00","159,30","154,60","1,94M","1,74%"
14.02.2024,"155,00","157,10","157,10","150,50","2,59M","-1,52%"
13.02.2024,"157,40","158,00","158,80","154,20","2,85M","-0,38%"
12.02.2024,"158,00","157,00","158,30","156,50","1,37M","1,35%"
09.02.2024,"155,90","157,50","158,40","154,50","1,45M","-1,02%"
08.02.2024,"157,50","155,10","157,50","154,30","1,49M","1,55%"
07.02.2024,"155,10","155,60","157,10","153,70","3,94M","-0,13%"
06.02.2024,"155,30","153,10","155,80","151,10","4,66M","1,17%"
05.02.2024,"153,50","149,40","153,50","147,50","5,42M","2,74%"
02.02.2024,"149,40","151,00","151,40","147,60","1,76M","-0,66%"
01.02.2024,"150,40","141,40","152,50","141,40","5,82M","6,82%"
31.01.2024,"140,80","140,60","143,90","137,60","2,18M","0,00%"
30.01.2024,"140,80","140,70","143,00","139,00","1,92M","0,64%"
29.01.2024,"139,90","140,10","141,30","137,80","2,39M","0,58%"
26.01.2024,"139,10","136,50","139,50","134,90","2,20M","2,66%"
25.01.2024,"135,50","133,00","135,60","132,40","1,81M","2,19%"
24.01.2024,"132,60","133,20","134,80","131,50","2,07M","0,84%"
23.01.2024,"131,50","137,50","138,00","130,60","2,74M","-3,80%"
22.01.2024,"136,70","135,00","137,40","133,50","1,60M","1,48%"
19.01.2024,"134,70","134,10","135,10","133,00","1,25M","0,67%"
18.01.2024,"133,80","133,20","135,30","130,40","2,12M","1,59%"
17.01.2024,"131,70","133,70","134,50","131,10","1,04M","-1,50%"
16.01.2024,"133,70","133,70","135,50","131,50","1,47M","0,38%"
15.01.2024,"133,20","134,10","135,90","131,30","1,79M","0,08%"
12.01.2024,"133,10","128,70","135,90","127,30","3,42M","3,10%"
11.01.2024,"129,10","128,40","131,90","127,80","3,62M","1,57%"
10.01.2024,"127,10","124,80","127,50","122,20","4,42M","1,92%"
09.01.2024,"124,70","129,80","130,90","124,60","2,68M","-4,30%"
08.01.2024,"130,30","132,00","133,00","130,00","1,81M","-0,84%"
05.01.2024,"131,40","131,70","132,90","128,90","1,70M","0,08%"
04.01.2024,"131,30","132,10","132,80","128,10","2,75M","-0,45%"
03.01.2024,"131,90","138,00","138,20","131,90","1,90M","-4,42%"
02.01.2024,"138,00","137,00","140,00","135,20","3,44M","0,36%"
29.12.2023,"137,50","136,50","138,00","134,80","3,10M","2,61%"
28.12.2023,"134,00","127,90","134,30","127,30","2,98M","4,77%"
27.12.2023,"127,90","130,50","130,50","124,60","3,45M","-1,62%"
26.12.2023,"130,00","133,00","137,30","126,40","4,18M","0,15%"
25.12.2023,"129,80","130,70","133,90","127,70","2,36M","-3,49%"
22.12.2023,"134,50","126,80","134,80","126,80","4,97M","6,07%"
21.12.2023,"126,80","129,00","129,30","119,30","4,56M","-1,55%"
20.12.2023,"128,80","125,10","129,50","122,90","5,68M","2,30%"
19.12.2023,"125,90","118,80","127,30","118,30","6,61M","8,25%"
18.12.2023,"116,30","118,20","121,40","116,10","3,66M","-1,61%"
15.12.2023,"118,20","117,10","121,60","117,10","4,46M","1,63%"
14.12.2023,"116,30","115,90","117,40","113,20","2,09M","1,39%"
13.12.2023,"114,70","117,80","119,20","114,70","2,01M","-3,13%"
12.12.2023,"118,40","119,00","120,00","112,90","3,57M","-0,50%"
11.12.2023,"119,00","118,70","122,20","116,30","4,06M","0,25%"
08.12.2023,"118,70","112,50","120,90","112,00","4,32M","5,98%"
07.12.2023,"112,00","115,20","115,40","108,80","3,20M","-2,78%"
06.12.2023,"115,20","117,60","121,10","114,90","3,30M","-1,96%"
05.12.2023,"117,50","114,50","118,80","113,80","3,05M","2,44%"
04.12.2023,"114,70","111,70","116,00","111,20","2,16M","2,78%"
01.12.2023,"111,60","111,70","112,80","108,70","2,31M","0,63%"
30.11.2023,"110,90","114,70","114,90","110,70","2,46M","-3,14%"
29.11.2023,"114,50","116,50","117,40","114,20","1,97M","-0,78%"
28.11.2023,"115,40","115,30","116,70","114,10","1,90M","0,17%"
27.11.2023,"115,20","114,10","117,00","114,10","2,60M","1,32%"
24.11.2023,"113,70","116,40","116,80","113,30","3,31M","-0,52%"
23.11.2023,"114,30","112,10","116,50","111,00","3,85M","2,05%"
22.11.2023,"112,00","111,00","114,60","110,10","3,04M","1,27%"
21.11.2023,"110,60","111,30","112,80","109,90","1,87M","-0,09%"
20.11.2023,"110,70","110,00","111,80","109,50","1,91M","1,37%"
17.11.2023,"109,20","110,40","111,40","108,50","2,31M","-1,18%"
16.11.2023,"110,50","110,90","111,90","109,10","2,02M","0,18%"
15.11.2023,"110,30","114,80","115,40","109,90","2,19M","-3,16%"
14.11.2023,"113,90","112,00","113,90","109,60","1,89M","1,70%"
13.11.2023,"112,00","118,90","120,00","109,30","5,70M","-5,25%"
10.11.2023,"118,20","118,20","121,00","116,80","3,11M","0,08%"
09.11.2023,"118,10","115,40","118,70","114,00","4,06M","2,07%"
08.11.2023,"115,70","113,90","115,70","113,00","3,36M","2,39%"
07.11.2023,"113,00","113,00","115,30","112,20","3,15M","0,00%"
06.11.2023,"113,00","112,80","115,10","112,40","3,20M","1,80%"
03.11.2023,"111,00","112,40","114,70","110,00","4,23M","-1,16%"
02.11.2023,"112,30","104,00","113,10","103,60","11,44M","9,14%"
01.11.2023,"102,90","101,10","103,60","99,50","3,37M","3,05%"
31.10.2023,"99,85","104,00","105,80","99,75","2,50M","-3,99%"
30.10.2023,"104,00","103,90","104,10","101,70","1,59M","0,10%"
27.10.2023,"103,90","104,00","105,90","99,85","3,27M","0,97%"
26.10.2023,"102,90","100,00","103,00","97,55","4,07M","3,11%"
25.10.2023,"99,80","103,00","103,40","99,30","3,50M","-3,11%"
24.10.2023,"103,00","99,70","103,70","99,70","2,33M","3,88%"
23.10.2023,"99,15","97,20","99,80","95,35","2,55M","4,31%"
20.10.2023,"95,05","94,00","98,10","93,40","3,86M","0,26%"
19.10.2023,"94,80","98,55","99,70","94,00","3,57M","-3,51%"
18.10.2023,"98,25","101,80","103,70","98,25","3,50M","-5,35%"
17.10.2023,"103,80","103,20","104,30","101,70","2,71M","1,37%"
16.10.2023,"102,40","107,00","108,10","102,40","2,33M","-3,67%"
13.10.2023,"106,30","109,00","109,20","104,10","2,27M","-2,74%"
12.10.2023,"109,30","111,50","112,40","105,50","3,27M","-0,55%"
11.10.2023,"109,90","114,40","116,40","109,90","3,32M","-4,02%"
10.10.2023,"114,50","109,60","115,30","109,60","2,64M","5,24%"
09.10.2023,"108,80","111,90","112,60","106,90","4,59M","-5,14%"
